Code,Title,Description,Source
qualifiedBidder,Qualified bidder,Those parties invited to submit a proposal in response to a Request for Proposal (RFP) for a project in which the government only allows a limited number of pre-qualified bidders to proceed to the RFP phase.,https://ppp-certification.com/ppp-certification-guide/glossary
disqualifiedBidder,Disqualified bidder,A bidder which either did not pass the qualification stage of the evaluation process or did not pass the pre-qualification stage of the process.,
